movie_title,comb
primal fear,blood spattered altar boy found running murder scene conviction seems certain attorney determined win case
prom night,prom night high school senior still struggling nightmare past tries evade killer bent ending party friends
puerto ricans in paris,new york police detectives luis eddie experience culture shock adventure head paris track stolen couture handbag
puss in boots,fabled feline heads land giants friends humpty dumpty kitty softpaws quest nab greatest treasure golden goose
queen of the desert,driven beyond bounds convention adventurer gertrude bell leaves turn of the century britain behind deserts middle east
rango,becomes lost desert pet chameleon rango pretends he s tough guy ends sheriff corrupt violent frontier town
rugrats in paris: the movie,rugrats take big screen visit paris mr pickles gets summoned fix giant robot euroreptarland theme park
same kind of different as me,wealthy couple whose marriage rocks befriends local homeless man changes perspectives inspiring true story
selfless,dying tycoon consciousness transplanted body healthy young man make troubling discovery body s origin
seven pounds,weighed dark secret irs agent ben thomas tries improve lives seven strangers need second chance
shark night,weekend beach house debauchery turns nightmare group friends discover waters infested vicious sharks
she's out of my league,average guy kirk starts dating drop dead gorgeous molly friends see lasting kirk everything avoid losing molly
sherlock holmes,game afoot eccentric detective must use brains brawn track nefarious nemesis help partner
shooter,highly decorated ex marine sniper returns action foil assassination plot targeting president soon finds framed murder
shutter,killing young girl hit and run accident couple haunted memory deadly choice
signs,young woman s murder shows similarities decade old cold case new police commander must break silence permeating owl mountain town
slow west,determined find woman loves scottish teenager braves western frontier 19th century america bounty hunters hot trail
snowden,thriller traces edward snowden s journey army recruit disillusioned government analyst bent exposing vast u s surveillance programs
space cowboys,retired engineer agrees help nasa prevent russian satellite falling earth over the hill pals man mission
spotlight,team reporters editors boston globe relentlessly investigate shocking child molestation cover up catholic church
star trek,led unflappable capt kirk crew starship enterprise delves deep far reaches space explore new worlds civilizations
stardust,win true love s heart wide eyed tristan thorn journeys forbidden realm retrieve fallen star taken human form
step brothers,brennan dale might grown men stop childish sibling rivalry erupting brennan s mom marries dale s dad
stuart little,mr mrs little want adopt brother child get bargained take mouse attitude
superbad,hoping sex college high school seniors seth evan try score booze huge party leading series wild misadventures
superman returns,superman returns metropolis finds lois lane moved another man lex luthor developing new plan rule world
surf's up,oscar nominated animated comedy goes behind scenes penguin world surfing championship get close up look inventors surfing
swiss army man,washed up corpse surprising abilities gives hopeless man stranded wilderness someone talk newfound reason live
swordfish,determined get mitts 9 billion secret dea account fight terrorism rogue agent recruits encryption expert hack in
takers,motley crew bank robbers plans next heist former colleague convinces target armored car carrying 20 million
tarzan,shipwrecked african coast lone child grows wild destined become lord jungle
teenage mutant ninja turtles,animated adventure master splinter whips four ninja turtles back shape defeat monsters running amok new york
the adventures of tintin,3 d motion capture adapts georges remi s classic comic strip adventures fearless young journalist tintin trusty dog snowy
the box,couple must decide whether push button net million dollars also cause death complete stranger
the brave one,new york city radio host erica bain decides take law hands losing fianc brutal central park attack
the bucket list,two terminally ill men bust cancer ward plan experience life fullest kick bucket
the cell,special operations officer vows get revenge terrorist killed friend brutal attack
the circle,status strategy collide social experiment competition show online players flirt befriend catfish way toward 100 000
the croods,earthquake obliterates cave unworldly prehistoric family forced journey unfamiliar terrain search new home
the da vinci code,curator louvre killed harvard professor cryptographer must untangle web deceit involving works leonardo da vinci
the daughter,returned home cagey father s wedding estranged man gets know childhood friend s family uncovers devastating secret
the departed,two rookie boston cops sent deep undercover one inside gang charismatic irish mob boss double crossing department
the devil inside,spooky grisly thriller follows woman s quest find truth behind claims mother killed three people exorcism
the disaster artist,aspiring actor greg moves los angeles strange friend tommy agrees star movie things start weird get lot weirder
the dukes of hazzard,duke boys back comedy based tv series following bo luke tear around hazzard county trusty dodge charger
the exception,world war ii nazi officer charged protecting exiled kaiser wilhelm ii spies begins steamy affair secretive dutch maid
the final destination,nick o bannon thinks he s cheated death keeps grisly premonition becoming reality soon realizes fate plans
the first wives club,following friend s suicide husband dumps younger model three women plot payback two timing exes
the founder,fateful encounter mcdonald brothers struggling salesman ray kroc becomes driven change way hamburgers made sold
the girl with the dragon tattoo,young computer hacker tasked investigating prying journalist separate missions become entangled amid decades old conspiracy
the guest,bound together tragic past psychic priest detective join forces take powerful spirit that s driven bloodthirst
the heartbreak kid,ben stiller stars newlywed marries dreamy woman learn honeymoon total nightmare
the hundred-foot journey,chef family leave india open eatery south france clash haughty restaurateur across street
the jungle book,animated series follows young mowgli animal mentors bagheera baloo best protect fierce tiger shere khan
the karate kid,moving beijing mother dre falls prey bully takes lessons martial arts master remake 1984 classic
the last airbender,world ravaged fire nation s aggression toward peaceful air water earth nations young boy holds key restoring peace
the little vampire,american kid obsessed undead befriends offers help young vampire whose family targeted merciless vampire hunter
the lobster,near future world single people hunted forced find mates within 45 days turned animals banished wilderness
the longest yard,washed up professional quarterback paul crewe sent jail forced put together inmate gridiron team take group prison guards
the lovers,verge divorce middle aged couple involved serious affair rethink marriage meaning love fidelity
the mask of zorro,aging zorro passes torch young successor schooling discipline training take sword crooked officials
the matrix,computer hacker learns people perceive reality actually simulation created machines joins rebellion break free
the matrix reloaded,crew must protect zion last outpost still human control pinpointed machines responsible matrix
the monster,troubled mother daughter relationship faces ultimate test duos broken down car leaves trapped within reach vicious creature
the muppets,muppets learn beloved theater slated demolition gang reunite raise 10 million need save it
the neighbor,self centered javier s life gets bit messy unexpectedly becomes superhero recent ex tasked uncovering identity
the one i love,confronted potential end marriage ethan sophie take weekend together hoping negotiate future
the other guys,new york cops allen terry toil obscurity lowly desk jockeys big break finally gives chance tackle real police work
the pirates! band of misfits,egotistical pirate captain strives win pirate year award snag coveted prize he ll outwit dreaded rivals
the polar express,warm hearted tale young boy s faith holiday spirit revived makes way train north pole christmas eve
the princess and the frog,new orleans jazz age beautiful girl named tiana fateful encounter frog prince desperately wants human again
the pursuit of happyness,chris son evicted face trying times desperate chris accepts unpaid internship stock brokerage firm
the ring,reporter watches video supposedly sets motion viewer s death seven days unravel mystery time up
the rugrats movie,baby brother dil born tommy pickles pals decide he s much responsibility try return hospital
the terminal,social pressure complicated past clash values beset life businessman family
the trial,murder teen girl impacts public prosecutor linked victim lawyer seeking career making case suspect says innocent
the tuxedo,government spy hospitalized new york city cab driver jimmy unwillingly takes spy s role aid computerized tuxedo
the ugly truth,chauvinistic morning show commentator tries prove relationship theories espouses segment called the ugly truth
thor: ragnarok,save asgard bloodthirsty goddess death mighty thor battle way freedom find way back home
total recall,getting memory implant working stiff douglas quaid discovers might actually secret agent embroiled violent insurrection mars
tracers,bike messenger falls debt organized criminals sexy woman draws high stakes world parkour teaching new skills
transcendence,two computer scientists work achieve technological singularity create world computers transcend abilities human brain
trespass against us,man criminal family yearns break away find better life father s staunch opposition puts dreams freedom jeopardy
troy,searching woman promised aphrodite herdsman paris learns true identity falls helen sparta igniting trojan war
true grit,teenage tomboy mattie ross enlists help crusty lawman rooster cogburn track hired hand murdered father
turbo,speed obsessed snail dreams world s greatest race car driver gets chance accident imbues high octane speed
two lovers and a bear,troubled couple living near north pole begins perilous journey south attempt find peace vanquish ghosts past
ultraviolet,online community amateur sleuths use technology solve crimes make quirky friends quest justice
unbroken,brutal murders loved ones three individuals share healed forgiveness documentary presented aamir khan
unfriended,six teens whose cyberbullying drove classmate kill become target online stalker lethal agenda
unstoppable,group friends set road trip unexpected fourth passenger forces abrupt change plans
up in the air,ryan bingham flies around country firing employees behalf companies faces losing job savors recent college grad natalie
vantage point,moments arrives spain antiterrorism summit u s president ashton shot
what lies beneath,claire spencer starts hearing ghostly voices seeing spooky images husband tries reassure telling head
wild wild west,armed ingenious arsenal two top notch government agents tasked tracking diabolical scientist futuristic western
xxx,notorious underground rush seeker deemed untouchable law coerced cooperating government infiltrate russian crime ring
yes man,bitter divorce bank drone falls sway self help guru urges say yes everything comes way year
zodiac,political cartoonist crime reporter pair cops investigate san francisco s infamous zodiac killer thriller based true story
zombieland,looking survive world taken zombies dorky college student teams urban roughneck pair grifter sisters
